date,region,number
07/03/2020,London,15
06/03/2020,London,24
05/03/2020,London,14
04/03/2020,London,18
03/03/2020,London,6
02/03/2020,London,12
01/03/2020,London,4
29/02/2020,London,1
28/02/2020,London,3
27/02/2020,London,2
26/02/2020,London,2
25/02/2020,London,3
24/02/2020,London,1
23/02/2020,London,0
22/02/2020,London,0
21/02/2020,London,0
20/02/2020,London,0
19/02/2020,London,0
18/02/2020,London,0
17/02/2020,London,0
16/02/2020,London,0
15/02/2020,London,0
14/02/2020,London,0
13/02/2020,London,0
12/02/2020,London,0
11/02/2020,London,1
28/12/2020,East of England,137
27/12/2020,East of England,4216
26/12/2020,East of England,5363
25/12/2020,East of England,1643
24/12/2020,East of England,3948
23/12/2020,East of England,5788
22/12/2020,East of England,6242
21/12/2020,East of England,6615
20/12/2020,East of England,4591
19/12/2020,East of England,3393
18/12/2020,East of England,5129
17/12/2020,East of England,4619
16/12/2020,East of England,4715
15/12/2020,East of England,4342
14/12/2020,East of England,4427
13/12/2020,East of England,2753
12/12/2020,East of England,2242
11/12/2020,East of England,2679
10/12/2020,East of England,2317
09/12/2020,East of England,2251
08/12/2020,East of England,2085
07/12/2020,East of England,2193
06/12/2020,East of England,1303
05/12/2020,East of England,1184
04/12/2020,East of England,1375
03/12/2020,East of England,1337
02/12/2020,East of England,1436
01/12/2020,East of England,1284
30/11/2020,East of England,1510
29/11/2020,East of England,770
28/11/2020,East of England,804
27/11/2020,East of England,1133
26/11/2020,East of England,1029
25/11/2020,East of England,1204
24/11/2020,East of England,1029
23/11/2020,East of England,1234
22/11/2020,East of England,805
21/11/2020,East of England,801
20/11/2020,East of England,1056
19/11/2020,East of England,1180
18/11/2020,East of England,1250
17/11/2020,East of England,1319
16/11/2020,East of England,1591
15/11/2020,East of England,914
14/11/2020,East of England,983
13/11/2020,East of England,1364
12/11/2020,East of England,1372
11/11/2020,East of England,1607
10/11/2020,East of England,1457
09/11/2020,East of England,1797
08/11/2020,East of England,1076
07/11/2020,East of England,1009
06/11/2020,East of England,1107
05/11/2020,East of England,1116
20/12/2020,London,8851
04/11/2020,East of England,1044
03/11/2020,East of England,1144
02/11/2020,East of England,1375
01/11/2020,East of England,633
31/10/2020,East of England,724
30/10/2020,East of England,994
29/10/2020,East of England,972
28/10/2020,East of England,1019
27/10/2020,East of England,937
26/10/2020,East of England,1145
25/10/2020,East of England,569
24/10/2020,East of England,599
23/10/2020,East of England,991
22/10/2020,East of England,996
21/10/2020,East of England,1044
20/10/2020,East of England,1093
19/10/2020,East of England,1036
18/10/2020,East of England,584
17/10/2020,East of England,509
16/10/2020,East of England,656
15/10/2020,East of England,845
14/10/2020,East of England,678
13/10/2020,East of England,731
12/10/2020,East of England,703
11/10/2020,East of England,378
10/10/2020,East of England,330
09/10/2020,East of England,564
08/10/2020,East of England,578
07/10/2020,East of England,539
06/10/2020,East of England,564
05/10/2020,East of England,530
04/10/2020,East of England,359
03/10/2020,East of England,359
02/10/2020,East of England,412
01/10/2020,East of England,359
30/09/2020,East of England,359
29/09/2020,East of England,332
28/09/2020,East of England,312
27/09/2020,East of England,208
26/09/2020,East of England,165
25/09/2020,East of England,216
24/09/2020,East of England,226
23/09/2020,East of England,193
22/09/2020,East of England,215
21/09/2020,East of England,166
20/09/2020,East of England,163
28/12/2020,Yorkshire and The Humber,259
19/09/2020,East of England,146
18/09/2020,East of England,206
17/09/2020,East of England,145
16/09/2020,East of England,142
15/09/2020,East of England,150
14/09/2020,East of England,142
13/09/2020,East of England,57
12/09/2020,East of England,83
27/12/2020,Yorkshire and The Humber,1631
11/09/2020,East of England,129
26/12/2020,Yorkshire and The Humber,1575
10/09/2020,East of England,164
25/12/2020,Yorkshire and The Humber,562
24/12/2020,Yorkshire and The Humber,1188
23/12/2020,Yorkshire and The Humber,1590
22/12/2020,Yorkshire and The Humber,1844
09/09/2020,East of England,127
21/12/2020,Yorkshire and The Humber,1970
08/09/2020,East of England,167
20/12/2020,Yorkshire and The Humber,1414
07/09/2020,East of England,154
19/12/2020,Yorkshire and The Humber,1016
18/12/2020,Yorkshire and The Humber,1450
06/09/2020,East of England,79
17/12/2020,Yorkshire and The Humber,1172
05/09/2020,East of England,97
16/12/2020,Yorkshire and The Humber,1224
04/09/2020,East of England,119
03/09/2020,East of England,152
15/12/2020,Yorkshire and The Humber,1490
02/09/2020,East of England,171
14/12/2020,Yorkshire and The Humber,1719
13/12/2020,Yorkshire and The Humber,1029
12/12/2020,Yorkshire and The Humber,948
11/12/2020,Yorkshire and The Humber,1231
10/12/2020,Yorkshire and The Humber,1219
01/09/2020,East of England,124
09/12/2020,Yorkshire and The Humber,1338
31/08/2020,East of England,101
08/12/2020,Yorkshire and The Humber,1343
07/12/2020,Yorkshire and The Humber,1405
30/08/2020,East of England,87
29/08/2020,East of England,80
28/08/2020,East of England,102
27/08/2020,East of England,121
26/08/2020,East of England,93
06/12/2020,Yorkshire and The Humber,864
05/12/2020,Yorkshire and The Humber,878
25/08/2020,East of England,100
04/12/2020,Yorkshire and The Humber,1050
24/08/2020,East of England,102
23/08/2020,East of England,52
22/08/2020,East of England,50
21/08/2020,East of England,63
20/08/2020,East of England,82
19/08/2020,East of England,63
03/12/2020,Yorkshire and The Humber,1153
02/12/2020,Yorkshire and The Humber,1338
18/08/2020,East of England,59
17/08/2020,East of England,63
16/08/2020,East of England,27
15/08/2020,East of England,31
01/12/2020,Yorkshire and The Humber,1485
14/08/2020,East of England,67
13/08/2020,East of England,61
12/08/2020,East of England,66
11/08/2020,East of England,47
10/08/2020,East of England,67
30/11/2020,Yorkshire and The Humber,1705
29/11/2020,Yorkshire and The Humber,1038
09/08/2020,East of England,23
08/08/2020,East of England,44
07/08/2020,East of England,68
06/08/2020,East of England,45
05/08/2020,East of England,53
28/11/2020,Yorkshire and The Humber,1092
04/08/2020,East of England,56
27/11/2020,Yorkshire and The Humber,1310
26/11/2020,Yorkshire and The Humber,1394
03/08/2020,East of England,68
02/08/2020,East of England,36
01/08/2020,East of England,22
25/11/2020,Yorkshire and The Humber,1610
24/11/2020,Yorkshire and The Humber,1762
23/11/2020,Yorkshire and The Humber,2059
22/11/2020,Yorkshire and The Humber,1350
31/07/2020,East of England,31
